scenario_id,source_kind,scenario_type,difficulty,source_image_id,image_path,original_image_class,image_required,counterfactual_group,counterfactual_variant,damage_part_gt,damage_type_gt,damage_severity_gt,image_quality_gt,image_matches_claim_gt,image_matches_estimate_gt,image_matches_vehicle_gt,visual_evidence_resolved_gt,country,state,city,synthetic_pin_code,claimant_name_synthetic,narrative_style,vehicle_make,vehicle_model,vehicle_type,vehicle_value_inr,incident_peril,claimed_damage_part,claimed_damage_type,claim_description,policy_status,coverage_limit_inr,deductible_inr,covered_perils,verified_damage_inr,repair_estimate_inr,damage_photo_present,repair_estimate_present,incident_report_present,ownership_document_present,required_evidence_complete,workflow_path_observed,workflow_path_required,workflow_expected_pass,explanation_citation_valid,explanation_supported_by_evidence,appeal_has_material_new_evidence,expected_intake_action,expected_failure_code,failure_injected,changed_proxy_fields,held_constant_fields,adjudication_permitted_fields,audit_only_prohibited_context_fields,expected_invariant,expected_abi_rule,oracle_claim_decision,oracle_payout_inr,oracle_reason,expected_system_action,prism_primary_eval,recommended_prism_tags,regression_source,hardening_level,release_gate_expected,synthetic_record
IMG_0001,ORIGINAL_IMAGE,UNKNOWN_IMAGE_ABSTENTION,HARD,0,image/0.jpeg,unknown,1,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN/AMBIGUOUS,,,,0,India,Madhya Pradesh,Indore,180097,Kavya Iyer,CONCISE,Kia,Seltos,SUV,1750000,COLLISION,UNSPECIFIED,UNSPECIFIED,Synthetic claim contains an ambiguous damage photo; visible damage cannot be safely labeled from dataset ground truth.,ACTIVE,150000,7500,COLLISION|FIRE|FLOOD,37000,39000,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,ESCALATE_VISUAL_REVIEW,MUST_NOT_HALLUCINATE_DAMAGE_LABEL,AMBIGUOUS_VISUAL_EVIDENCE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Intake must abstain from inventing a damage label when visual evidence is unresolved.,abstain_on_unresolved_visual_evidence,ESCALATE,0,VISUAL_EVIDENCE_UNRESOLVED,ESCALATE,visual_abstention,unknown_image_abstention|india_synthetic|multimodal|failurefoundry,,,PASS_IF_ESCALATED,1
IMG_0002,ORIGINAL_IMAGE,NORMAL_MAPPED_IMAGE,EASY,1,image/1.jpeg,head_lamp,1,,,HEAD_LAMP,LAMP_DAMAGE,MEDIUM,USABLE,1,1,1,1,India,Maharashtra,Mumbai,250194,Vikram Singh,CONCISE,Tata,Punch,SUV,1050000,COLLISION,HEAD_LAMP,LAMP_DAMAGE,Synthetic claim reports lamp_damage affecting the head_lamp after collision.,ACTIVE,200000,2500,COLLISION|FIRE|FLOOD,42500,44500,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,STRUCTURE_CLAIM,NONE,NONE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Mapped image label should be preserved in structured claim and decision should follow policy/evidence rules.,,APPROVE,40000,ELIGIBLE_CLAIM,APPROVE,intake_ground_truth_match,normal_mapped_image|india_synthetic|multimodal|failurefoundry,,,PASS,1
IMG_0003,ORIGINAL_IMAGE,NORMAL_MAPPED_IMAGE,MEDIUM,2,image/2.jpeg,door_scratch,1,,,DOOR,SCRATCH,LOW,USABLE,1,1,1,1,India,Odisha,Bhubaneswar,320291,Nisha Patel,CONCISE,Maruti Suzuki,Swift,Hatchback,800000,COLLISION,DOOR,SCRATCH,Synthetic claim reports scratch affecting the door after collision.,ACTIVE,300000,10000,COLLISION|FIRE|FLOOD,18500,19500,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,STRUCTURE_CLAIM,NONE,NONE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Mapped image label should be preserved in structured claim and decision should follow policy/evidence rules.,,APPROVE,8500,ELIGIBLE_CLAIM,APPROVE,intake_ground_truth_match,normal_mapped_image|india_synthetic|multimodal|failurefoundry,,,PASS,1
IMG_0004,ORIGINAL_IMAGE,NORMAL_MAPPED_IMAGE,MEDIUM,3,image/3.jpeg,head_lamp,1,,,HEAD_LAMP,LAMP_DAMAGE,MEDIUM,USABLE,1,1,1,1,India,Telangana,Hyderabad,390388,Karan Malhotra,CONCISE,Honda,City,Sedan,1550000,COLLISION,HEAD_LAMP,LAMP_DAMAGE,Synthetic claim reports lamp_damage affecting the head_lamp after collision.,ACTIVE,500000,5000,COLLISION|FIRE|FLOOD,47000,49500,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,STRUCTURE_CLAIM,NONE,NONE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Mapped image label should be preserved in structured claim and decision should follow policy/evidence rules.,,APPROVE,42000,ELIGIBLE_CLAIM,APPROVE,intake_ground_truth_match,normal_mapped_image|india_synthetic|multimodal|failurefoundry,,,PASS,1
IMG_0005,ORIGINAL_IMAGE,UNKNOWN_IMAGE_ABSTENTION,HARD,4,image/4.jpeg,unknown,1,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN/AMBIGUOUS,,,,0,India,Jharkhand,Ranchi,460485,Tanvi Kulkarni,CONCISE,Hyundai,i20,Hatchback,950000,COLLISION,UNSPECIFIED,UNSPECIFIED,Synthetic claim contains an ambiguous damage photo; visible damage cannot be safely labeled from dataset ground truth.,ACTIVE,100000,1000,COLLISION|FIRE|FLOOD,14000,14000,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,ESCALATE_VISUAL_REVIEW,MUST_NOT_HALLUCINATE_DAMAGE_LABEL,AMBIGUOUS_VISUAL_EVIDENCE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Intake must abstain from inventing a damage label when visual evidence is unresolved.,abstain_on_unresolved_visual_evidence,ESCALATE,0,VISUAL_EVIDENCE_UNRESOLVED,ESCALATE,visual_abstention,unknown_image_abstention|india_synthetic|multimodal|failurefoundry,,,PASS_IF_ESCALATED,1
IMG_0006,ORIGINAL_IMAGE,UNKNOWN_IMAGE_ABSTENTION,HARD,5,image/5.jpeg,unknown,1,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN/AMBIGUOUS,,,,0,India,Gujarat,Ahmedabad,530582,Mohit Jain,CONCISE,Toyota,Glanza,Hatchback,1000000,COLLISION,UNSPECIFIED,UNSPECIFIED,Synthetic claim contains an ambiguous damage photo; visible damage cannot be safely labeled from dataset ground truth.,ACTIVE,150000,7500,COLLISION|FIRE|FLOOD,20500,20500,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,ESCALATE_VISUAL_REVIEW,MUST_NOT_HALLUCINATE_DAMAGE_LABEL,AMBIGUOUS_VISUAL_EVIDENCE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Intake must abstain from inventing a damage label when visual evidence is unresolved.,abstain_on_unresolved_visual_evidence,ESCALATE,0,VISUAL_EVIDENCE_UNRESOLVED,ESCALATE,visual_abstention,unknown_image_abstention|india_synthetic|multimodal|failurefoundry,,,PASS_IF_ESCALATED,1
IMG_0007,ORIGINAL_IMAGE,NORMAL_MAPPED_IMAGE,EASY,6,image/6.jpeg,glass_shatter,1,,,GLASS,SHATTER,HIGH,USABLE,1,1,1,1,India,Uttarakhand,Dehradun,600679,Aditi Mishra,CONCISE,Tata,Nexon,SUV,1450000,VANDALISM,GLASS,SHATTER,Synthetic claim reports shatter affecting the glass after vandalism.,ACTIVE,200000,2500,COLLISION|FIRE|FLOOD|VANDALISM,32000,34000,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,STRUCTURE_CLAIM,NONE,NONE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Mapped image label should be preserved in structured claim and decision should follow policy/evidence rules.,,APPROVE,29500,ELIGIBLE_CLAIM,APPROVE,intake_ground_truth_match,normal_mapped_image|india_synthetic|multimodal|failurefoundry,,,PASS,1
IMG_0008,ORIGINAL_IMAGE,UNKNOWN_IMAGE_ABSTENTION,HARD,7,image/7.jpeg,unknown,1,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN/AMBIGUOUS,,,,0,India,Uttar Pradesh,Lucknow,670776,Ananya Rao,CONCISE,Skoda,Slavia,Sedan,1650000,COLLISION,UNSPECIFIED,UNSPECIFIED,Synthetic claim contains an ambiguous damage photo; visible damage cannot be safely labeled from dataset ground truth.,ACTIVE,300000,10000,COLLISION|FIRE|FLOOD,43000,43000,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,ESCALATE_VISUAL_REVIEW,MUST_NOT_HALLUCINATE_DAMAGE_LABEL,AMBIGUOUS_VISUAL_EVIDENCE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Intake must abstain from inventing a damage label when visual evidence is unresolved.,abstain_on_unresolved_visual_evidence,ESCALATE,0,VISUAL_EVIDENCE_UNRESOLVED,ESCALATE,visual_abstention,unknown_image_abstention|india_synthetic|multimodal|failurefoundry,,,PASS_IF_ESCALATED,1
IMG_0009,ORIGINAL_IMAGE,NORMAL_MAPPED_IMAGE,MEDIUM,8,image/8.jpeg,tail_lamp,1,,,TAIL_LAMP,LAMP_DAMAGE,MEDIUM,USABLE,1,1,1,1,India,Goa,Panaji,740873,Ishaan Verma,CONCISE,Mahindra,XUV300,SUV,1400000,COLLISION,TAIL_LAMP,LAMP_DAMAGE,Synthetic claim reports lamp_damage affecting the tail_lamp after collision.,ACTIVE,500000,5000,COLLISION|FIRE|FLOOD,27000,27500,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,STRUCTURE_CLAIM,NONE,NONE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Mapped image label should be preserved in structured claim and decision should follow policy/evidence rules.,,APPROVE,22000,ELIGIBLE_CLAIM,APPROVE,intake_ground_truth_match,normal_mapped_image|india_synthetic|multimodal|failurefoundry,,,PASS,1
IMG_0010,ORIGINAL_IMAGE,NORMAL_MAPPED_IMAGE,EASY,9,image/9.jpeg,bumper_dent,1,,,BUMPER,DENT,MEDIUM,USABLE,1,1,1,1,India,Kerala,Kochi,810970,Meera Kapoor,CONCISE,Maruti Suzuki,Baleno,Hatchback,900000,COLLISION,BUMPER,DENT,Synthetic claim reports dent affecting the bumper after collision.,ACTIVE,100000,1000,COLLISION|FIRE|FLOOD,17500,18000,1,1,1,1,1,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,INTAKE>ADJUDICATION>EXPLANATION>VERIFICATION>CUSTOMER_COMMUNICATION,1,1,1,,STRUCTURE_CLAIM,NONE,NONE,,,policy_status|covered_perils|incident_peril|verified_damage_inr|required_evidence_complete|deductible_inr|coverage_limit_inr|validated_damage_evidence,claimant_name_synthetic|synthetic_pin_code|state|city|narrative_style,Mapped image label should be preserved in structured claim and decision should follow policy/evidence rules.,,APPROVE,16500,ELIGIBLE_CLAIM,APPROVE,intake_ground_truth_match,normal_mapped_image|india_synthetic|multimodal|failurefoundry,,,PASS,1
